,index,bids,brand,category,character,condition,era,franchise,gender,item_num,price,quantity_sold,sell_date,size,title,toy_type,year,format
0,0,1,Hasbro,Military & Adventure,Overkill,Used,,GI Joe,,143403454443,5.99,1,"Oct 12, 2019",3.75in.,1992 gi joe overkill (v1) talking battle commanders action figure! hasbro! works,Action Figure,1992,Auction
1,1,0,Hasbro,Military & Adventure,Road Pig,New,1980-2001,GI Joe,,192933991310,40.0,1,"Oct 12, 2019",3.75in.,gi joe sonic fighters road pig collectors club fss final 12 moc star case jtc,Action Figure,2019,BIN
2,2,9,Mattel,Sports,,New,,,,303312623335,40.0,1,"Oct 12, 2019",,wwe exclusive liv morgan elite action figure ,Action Figure,,Auction
3,3,0,21st Century Toys,Military & Adventure,Huey,Used,,Ultimate Soldier,,113916859329,45.5,1,"Oct 12, 2019",4in.,21st century toys 1 18 huey pilot,Action Figure,,BIN
4,4,0,McFarlane Toys,"TV, Movie & Video Games",,New,2002-Now,,,264318985546,22.99,1,"Oct 12, 2019",6in.,2002 mcfarlane's monsters frankenstein series 1 new in package,Action Figure,2002,BIN
5,5,1,Hasbro,Military & Adventure,,Used,,GI Joe,,254382610990,2.0,1,"Oct 12, 2019",3.75in.,gi joe cobra rock viper vintage action figure arah loose,Action Figure,1984,Auction
6,6,0,DC,"TV, Movie & Video Games",Batgirl,New,,Batman,,123932210147,40.0,1,"Oct 12, 2019",,batman vs tmnt - batgirl - gamestop exclusive,Action Figure,,BIN
7,7,19,Hasbro,"TV, Movie & Video Games",,New,,Star Wars,,133195959610,30.0,1,"Oct 12, 2019","6""",6 inch 2018 general veers walgreens exclusiv figure star wars black series loose,Action Figure,2016,Auction
8,8,0,Playmates Toys,"TV, Movie & Video Games",Rocksteady,Used,1980-2001,Teenage Mutant Ninja Turtles,,183991413010,17.99,1,"Oct 12, 2019",5in.,"tmnt ninja turtles rocksteady 5"" action figure complete playmates 5009 1988",Action Figure,1988,BIN
9,9,0,Titan Sports,Sports,,Used,1980-2001,WWE,,123930825083,10.5,1,"Oct 12, 2019",8in.,"wwf jimmy ""superfly"" snuka 1984 8"" titan sports action figure ljn",Action Figure,1984,BIN
10,10,0,McFarlane Toys,"TV, Movie & Video Games",Negan,New,,The Walking Dead,,303317246518,8.99,2,"Oct 12, 2019","7""",the walking dead amc negan baseball bat mcfarlane series 10 action figure ,Action Figure,,BIN
11,11,0,Hasbro,Military & Adventure,,New,,GI Joe,,113897548239,79.96,1,"Oct 12, 2019",,hasbro g.i. joe mobile artillery cannon (slugger) action figure brand new sealed,Action Figure,,BIN
12,12,0,Unbranded,"TV, Movie & Video Games",,Used,,Teenage Mutant Ninja Turtles,,352821856484,18.99,1,"Oct 12, 2019",,vintage teenage mutant ninja turtles yellow raphael bootleg figure,Action Figure,,BIN
13,13,0,Kidrobot,Designer & Urban Vinyl,,Used,,Dunny,,223581436123,12.99,1,"Oct 12, 2019",3in.,"kidrobot - bffs ""will make you lol"" - vinyl minis - travis cain - mo and lolly",Action Figure,2017,BIN
14,14,1,MLB The Show 19,Sports,,New,,,,362772499860,9.99,1,"Oct 12, 2019",,"francisco lindor (cleveland indians) mlb the show 19 7"" figure",,,Auction
15,15,4,Hasbro,"TV, Movie & Video Games",SITH JET TROOPER,New,2002-Now,Star Wars,,133195989859,4.25,1,"Oct 12, 2019",4in.,star wars 2019 the rise of skywalker sith jet trooper vc159 action figure nm,Action Figure,2019,Auction
16,16,0,IRWIN,Anime & Manga,,Used,,Dragon Ball Z,,254201958158,27.6,1,"Oct 12, 2019",,dragon ball z action figure and accessories lot irwin fun raditz gold hair gohan,Action Figure,,BIN
17,17,0,Diamond Select,Comic Book Heroes,Doctor Strange,New,,Ghost Rider,,202798727773,15.29,1,"Oct 12, 2019",,minimates marvel avengers secret wars doctor strange & ghost rider walgreens exc,Action Figure,,BIN
18,18,0,Diamond Select,Comic Book Heroes,Venom,New,,Spider-Man,,202798731093,15.29,1,"Oct 12, 2019",,minimates marvel spider-man venom & hammerhead walgreens exclusive,Action Figure,,BIN
19,19,0,McFarlane Toys,Sports,,New,2002-Now,,,123826561019,15.0,1,"Oct 12, 2019",6in.,mcfarlane willie mays and barry bonds action figure toy san francisco giants,Action Figure,2005,BIN
20,20,0,Mattel,Comic Book Heroes,Killer Croc,Used,,Batman,,303226624171,9.0,1,"Oct 12, 2019",6in.,batman power attack mission toxin blaster swamp raider killer croc figure,Action Figure,,BIN
21,21,3,Bandai,Transformers & Robots,Robot,Used,1980-2001,Gobots,,283634574406,5.5,1,"Oct 12, 2019",,go-bots hornet figure   bandai 1985 robot toy  open,Action Figure,1985,Auction
22,22,1,Mattel,"TV, Movie & Video Games",Jitsu,Used,,Masters of the Universe,,254383596400,3.99,1,"Oct 12, 2019",,"1983 he-man masters of the universe jitsu action figure, complete",Action Figure,1983,Auction
23,23,0,Hasbro,Transformers & Robots,Pounce,Used,1980-2001,Transformers,,293275850881,30.0,1,"Oct 12, 2019",,vintage g1 transformers pounce & wingspan clones  w/manual & weapons ,Action Figure,1987,BIN
24,24,0,Kenner,"TV, Movie & Video Games",,Used,,Star Wars,,264448841020,5.0,1,"Oct 12, 2019",,kenner action masters lot of - 4 - star wars die-cast figures 1994,Action Figure,1994,BIN
25,25,0,McFarlane Toys,Sports,,New,2002-Now,,,132994294731,19.99,1,"Oct 12, 2019",3in.,2006 mcfarlane dallas cowboys drew bledsoe 3” inch figure new in box (jr),Action Figure,2006,BIN
26,26,4,Unspecified,"TV, Movie & Video Games",Balista Shan,Used,2002-Now,Star Wars,,143403509240,11.01,1,"Oct 12, 2019",3.75in.,loose star wars the vintage collection knights of the old republic bastila shan,Action Figure,,Auction
27,27,0,DID,Military & Adventure,,Used,,,,183953569030,16.99,1,"Oct 12, 2019",,1/6 action figure metal and wood mp18 sub machine gun from did wwi german,Action Figure,,BIN
28,28,0,Hasbro,Military & Adventure,Cobra Commander,Used,,GI Joe,,392442528358,9.99,1,"Oct 12, 2019",3.75in.,gi joe 2008 25th cobra h.i.s.s. commander (100% w/filecard (hiss driver),Action Figure,2008,BIN
29,29,0,Funko,"TV, Movie & Video Games",Daedric Warrior,New,2002-Now,Skyrim,,233366734767,49.99,1,"Oct 12, 2019",6in.,funko the elder scrolls v skyrim legacy collection daedric warrior action figure,Action Figure,2015,BIN
30,30,0,Hasbro,Military & Adventure,Duke,Used,,GI Joe,,392442361618,14.99,1,"Oct 12, 2019",3.75in.,"gi joe 2015 50th h.i.s.s. ""hiss"" driver (v5) 100% w/filecard (tank driver)",Action Figure,2015,BIN
31,31,0,Hasbro,Comic Book Heroes,,New,2002-Now,AVENGERS,,292360788710,9.95,3,"Oct 12, 2019","4""","quasar action figure marvel legends series universe wave 3 mosc 3 3/4"" 2015",Action Figure,2015,BIN
32,32,5,Unbranded,"TV, Movie & Video Games",,New,,Super Mario Bros.,,392469494113,3.0,1,"Oct 12, 2019",1in.,8pcs super mario bros figures yoshi luigi goomba mini figures playset kids gift#,Action Figure,2019,Auction
33,33,0,Hot Toys,"TV, Movie & Video Games",,New,,,,202776842321,299.99,1,"Oct 12, 2019",,metal gear rising - raiden inferno armor 1/6th action figure vgm19 (hot toys),,,BIN
34,34,0,tokidoki,Designer & Urban Vinyl,,New,,,,333359305282,10.0,1,"Oct 12, 2019",,tokidoki unicorno metallico series 4 sdcc 2019 - lily,,2019,BIN
35,35,0,Hasbro,Military & Adventure,,New,,GI Joe,,163901911488,8.75,2,"Oct 12, 2019","12""","gi joe vintage id guide book 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 12""",Action Figure,"1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971",BIN
36,36,0,Hasbro,"TV, Movie & Video Games",,New,,Star Wars,,264247700620,26.78,1,"Oct 12, 2019",6in.,"snoke 2017 black series 6"" action figure toy new throne room star wars last jedi",Action Figure,,BIN
37,37,3,Mattel,Sports,,New,,WWE,,383199106340,15.5,1,"Oct 12, 2019",,wwe asuka nxt elite series take over asuka first in line figure new sealed,Action Figure,,Auction
38,38,0,Hasbro,Comic Book Heroes,Cyclops,New,,X-Men,,383208106386,12.99,2,"Oct 12, 2019",,hasbro marvel legends 80 years vintage wave 3 uncanny x-men cyclops new,Action Figure,,BIN
39,39,0,Hasbro,Sports,Demolition,Used,,WWF,,323946156984,16.95,1,"Oct 12, 2019",4.5in.,demolition- smash & crash action figures series 2 wwf hasbro,Action Figure,1990,BIN
40,40,6,Star Wars,"TV, Movie & Video Games",Sand People,New,2002-Now,Star Wars,,392469213588,22.0,1,"Oct 12, 2019",6in.,"star wars 40th anniversary sand people action figure black 6"" nib",Action Figure,,Auction
41,41,3,MEDICOM,"TV, Movie & Video Games",,Used,,Spider-Man,,202795354859,56.0,1,"Oct 12, 2019",,medicom 2014 mafex the amazing spider-man 2 dx set,Action Figure,2014,Auction
42,42,1,Hasbro,Military & Adventure,Lampreys,Used,,GI Joe,,223695286890,9.99,1,"Oct 12, 2019",3.75in.,vintage 1986 gi joe  lampreys cobra moray hydrofoil pilot  ,Action Figure,1986,Auction
43,43,0,Super7,"TV, Movie & Video Games",,Used,,,,174041539753,99.99,1,"Oct 12, 2019",3.75in.,lot (5) reaction horror series action figures crow scream friday 13th misfits,Action Figure,,BIN
44,44,0,Hasbro,"TV, Movie & Video Games",Darth Vader,Used,2002-Now,Star Wars,,264482912724,7.99,1,"Oct 12, 2019",3.75in.,star wars saga darth vader throne room duel loose complete,Action Figure,2005,BIN
45,45,3,Marvel,Comic Book Heroes,Hawkeye,New,2002-Now,Marvel Cinematic Universe,,264491466423,12.5,1,"Oct 12, 2019",6in.,"marvel legends hawkeye avengers endgame mcu target exclusive 2-pack 6"" loose",Action Figure,2019,Auction
46,46,2,Unspecified,"TV, Movie & Video Games",Monster,Used,,Masters of the Universe,,113914360083,41.0,1,"Oct 12, 2019",,my little pony my pet monster vintage custom action figure motu ko,Action Figure,,Auction
47,47,0,Hasbro,Military & Adventure,,New,,GI Joe,,323826064442,55.0,1,"Oct 12, 2019",,gi joe classic collection shuttle astronaut limited edition action figure sealed,Action Figure,,BIN
48,48,6,TYCO,"TV, Movie & Video Games",Nova,New,1980's,Dino-Riders,,401914569738,29.0,1,"Oct 12, 2019",3in.,vintage (nos) tyco in blister pack 1987 dino riders action figures demon & nova,Action Figure,1987,Auction
49,49,0,WWE,Sports,,New,,,,274048265180,34.99,1,"Oct 12, 2019",,wwe sensational sherri elite collection exclusive action figure sealed,,,BIN
50,50,0,Marvel,Comic Book Heroes,Havok,New,2002-Now,X-Men,,264478962229,22.0,1,"Oct 12, 2019",6in.,"marvel legends havok x-men 6"" action figure juggernaut leg baf ",Action Figure,2016,BIN
51,51,0,WWE,Sports,"""Dude Love"" Mankind Variant",New,2002-Now,WWE,,133196988480,20.0,1,"Oct 12, 2019","7""","wwe ""dude love"" signed variant limited classic jakks (series 2) ",Action Figure,2004,BIN
52,52,1,McFarlane Toys,"TV, Movie & Video Games",Ghostface,New,1980-2001,Scream,,333359349873,13.3,1,"Oct 12, 2019",8in.,mcfarlane toys movie maniacs series 2 scream ghostface action figure new,Action Figure,1997,Auction
53,53,0,Disney Store,Comic Book Heroes,Hulk,Used,,Marvel Universe,,193135555159,29.99,1,"Oct 12, 2019",9in.,"disney store marvel select diamond comic unleashed hulk action figure 9""",Action Figure,,BIN
54,54,0,Hasbro,Military & Adventure,Cobra Commander,New,2002-Now,GI Joe,,254293421390,22.99,1,"Oct 12, 2019",3.75in.,gi joe rise of cobra commander red armor suit gray jacket silver mask hasbro toy,Action Figure,,BIN
55,55,20,JIAOU Doll,"TV, Movie & Video Games",,New,2002-Now,,,293264324740,47.0,1,"Oct 12, 2019",1/6,jiaou doll 1/6 european female body big bust dismantle foot joq-10e-bs01,Action Figure,,Auction
56,56,0,Jakks Pacific,"TV, Movie & Video Games",Kevin,New,2002-Now,wwf,,133193734601,20.0,1,"Oct 12, 2019",8in.,2006 wwf wwe jakks diesel kevin nash classic series 11 wrestling figure signed,Action Figure,2006,BIN
57,57,13,Pro Sports Marketing Inc.,Sports,Redskins QB,Used,Pre-1980,Washington  Redskins,,392465965179,111.38,1,"Oct 12, 2019",6in.,pro sports marketing team mate figure washington redskins 1977 nfl action in box,Action Figure,1977,Auction
58,58,1,Unspecified,"TV, Movie & Video Games",Janine Melnitz,Used,1980-2001,Ghostbusters,,372800541568,2.5,1,"Oct 12, 2019",5in.,ghostbusters action figure,Action Figure,,Auction
59,59,3,Bandai,"TV, Movie & Video Games",Ultraman,Used,,Ultraman,,392465965420,39.0,1,"Oct 12, 2019",7.87in.,ultraseven bullmark made in japan bandai sofvi ultraman ultrahero,Action Figure,,Auction
60,60,3,Hasbro,Military & Adventure,Yogi Bear,Used,,GI Joe,,113916725866,5.26,1,"Oct 12, 2019",3.5in.,gi joe roadblock 1988 needs oring tiger force  tight joints glossy paint,Action Figure,1989,Auction
61,61,0,Mirage,"TV, Movie & Video Games",,Used,,Teenage Mutant Ninja Turtles,,303289390081,12.0,1,"Oct 12, 2019",,teenage mutuant ninja turtles 1990s action figures  lot of 3 ,Action Figure,1990,BIN
62,62,0,Disney Parks,"TV, Movie & Video Games",Droid,New,2002-Now,Star Wars,,233346602447,12.99,1,"Oct 12, 2019",3.75in.,$16.99 star wars droid factory clone wars 4-pack r5-013 & r2-c2 & r5-s9 & r5-p8 ,Action Figure,2017,BIN
63,63,8,Mattel,"TV, Movie & Video Games",Spikor,Used,,MASTER'S OF THE UNIVERSE,,323939148478,12.0,1,"Oct 12, 2019",5.5in.,1984 vintage mattel master's of the universe motu spikor figure he-man complete,Action Figure,1984,Auction
64,64,2,Bandai,"TV, Movie & Video Games",Ultramonster,Used,,Ultraman,,392465965639,37.0,1,"Oct 12, 2019",9.45in.,redking bullmark bandai made in japan ultramonster sofvi ultraman kaiju ,Action Figure,,Auction
65,65,5,Unspecified,"TV, Movie & Video Games",Skeletor,Used,1980-2001,Masters of the Universe,,323939140822,16.5,1,"Oct 12, 2019",,masters of the universe skeletor action figure original vintage motu,Action Figure,,Auction
66,66,0,Hasbro,Military & Adventure,,Used,,GI Joe,,273760918706,5.99,1,"Oct 12, 2019",3.75in.,crystal ball vintage hasbro g.i. gi joe arah action figure 1987,Action Figure,,BIN
67,67,0,Hasbro,"TV, Movie & Video Games",Darth Vader,New,2002-Now,,,264361360873,9.99,2,"Oct 12, 2019",6in.,star wars the black series 40th anniversary darth vader legacy pack - new,Action Figure,2017,BIN
68,68,5,Hasbro,Military & Adventure,Yogi Bear,Used,,GI Joe,,113916717075,6.5,1,"Oct 12, 2019",3.5in.,gi joe law 1993 tight joints glossy paint,Action Figure,1989,Auction
69,69,6,Marvel,Comic Book Heroes,Warpath,Used,,X-Men,,153673570286,63.0,1,"Oct 12, 2019",7in.,"warpath x-force marvel legends 2010 variant action figure, toys r us tru 2-pack",Action Figure,2010,Auction
70,70,3,MLB The Show 19,Sports,,New,,,,362772499859,14.01,1,"Oct 12, 2019",,"javier baez (chicago cubs) mlb the show 19 7"" figure",,,Auction
71,71,28,Hasbro,Military & Adventure,,Used,,GI Joe,,283636629377,78.0,1,"Oct 12, 2019",,vintage 1980's gi joe action figures lot 3 3/4”,Action Figure,1980,Auction
72,72,3,Telepix,"TV, Movie & Video Games",,Used,,ThunderCats,,303313425828,17.5,1,"Oct 12, 2019",,lot of 4 1986 telepix thundercats mini action figures,Action Figure,1986,Auction
73,73,37,Kenner,Sports,"J.Rice, S.Young, J.Taylor, Tom Rathman",New,1980-2001,NFL,,174051647393,48.0,1,"Oct 12, 2019","4""-5"" tall","(4) kenner starting lineups: j.rice, s.young, j.taylor & tom rathman go 49ers!",Action Figure,"1990, 1995",Auction
74,74,1,Hasbro,"TV, Movie & Video Games",Queen Amidala,Used,2002-Now,Star Wars,,183986650610,13.95,1,"Oct 12, 2019",3.75in.,star wars queen amidala (hasbro 2009) darth sidious legacy collection lot of 3,Action Figure,2009,Auction
75,75,10,Hasbro,Military & Adventure,Yogi Bear,Used,,GI Joe,,113916718828,13.83,1,"Oct 12, 2019",3.5in.,gi joe night vulture 1991 tight joints glossy paint,Action Figure,1989,Auction
76,76,0,Kenner,"TV, Movie & Video Games",Han Solo,Used,2002-Now,Star Wars,,372755670567,8.95,1,"Oct 12, 2019",3.75in.,"star wars skirmish at carkoon loose 3.75"" figure jabba's prisoner han solo saga!",Action Figure,2004,BIN
77,77,0,Hasbro,"TV, Movie & Video Games",Klaatu,Used,2002-Now,Star Wars,,223647543288,7.95,1,"Oct 12, 2019",3.75in.,"star wars skirmish at carkoon loose 3.75"" figure jabba's skiff guard klaatu saga",Action Figure,2004,BIN
78,78,0,Hasbro,"TV, Movie & Video Games",VIZAN,Used,2002-Now,Star Wars,,123732280418,3.99,1,"Oct 12, 2019",3.75in.,vizan  star wars loose figure skirmish at carkoon 2004 saga series skiff guards ,Action Figure,2004,BIN
79,79,1,MLB The Show 19,Sports,,New,,,,362772499857,9.99,1,"Oct 12, 2019",,"jd martinez (boston red sox) mlb the show 19 7"" figure",,,Auction
80,80,10,Unbranded,Military & Adventure,Soldier,New,,S.W.A.T.,,174054862524,14.0,1,"Oct 12, 2019",12in.,us  soldier swat police uniform1/6 scale  figure  model military army body suit,Action Figure,2015,Auction
81,81,0,Hasbro,Transformers & Robots,Jazz,Used,2002-Now,Transformers,,163901219362,7.0,1,"Oct 12, 2019",,transformers generations jazz figure fall of cybertron 2012 deluxe class ,Action Figure,2012,BIN
82,82,1,Kenner,"TV, Movie & Video Games",Brad,Used,,Hocus Pocus,,293267747636,8.99,1,"Oct 12, 2019",,1985 kenner m.a.s.k. hocus pocus brad turner action figure short helmet loose,Action Figure,1985,Auction
83,83,6,Hasbro,Transformers & Robots,The Fallen,Used,,Transformers,,133193793990,10.28,1,"Oct 12, 2019",,transformers rotf revenge of the fallen scout class hubcap,Action Figure,,Auction
84,84,0,Marvel,Comic Book Heroes,Marie,New,,,,401870771921,14.99,1,"Oct 12, 2019",6in.,marvel legends series 6-inch marvel's typhoid mary mib baf,,,BIN
85,85,2,Marvel,Comic Book Heroes,,New,,,,264489085930,10.5,1,"Oct 12, 2019",,marvel legends series black panther everett ross & erik killmonger,,,Auction
86,86,0,Hasbro,Transformers & Robots,Cheetor,New,1980-2001,Transformers,,173920175169,45.0,1,"Oct 12, 2019",,1999 transformers beast wars cheetor deluxe green eyes heroic maximal hasbro new,Action Figure,1999,BIN
87,87,0,NECA,"TV, Movie & Video Games",Subject Delta,New,,Bioshock 2,,163804697558,79.99,1,"Oct 12, 2019",,neca bioshock 2 subject delta action figure new sealed,Action Figure,,BIN
88,88,1,Hasbro,Comic Book Heroes,Spider-Man,New,1980-2001,Spider-Man,,123930162675,5.0,1,"Oct 12, 2019",5in., 1997 spider-man spider force transforming insect armor figure wasp still in box,Action Figure,1997,Auction
89,89,1,Hasbro,Comic Book Heroes,Mystique,Used,,Marvel Universe,,143403506710,15.0,1,"Oct 12, 2019",3.75in.,"marvel universe 3.75"" mystique x-men villain loose action figure 3 3/4 scale",Action Figure,,Auction
90,90,3,Hasbro,Military & Adventure,Yogi Bear,Used,,GI Joe,,113916720649,4.55,1,"Oct 12, 2019",3.5in.,gi joe bazooka 1985 tight joints glossy paint,Action Figure,1989,Auction
91,91,8,MLB The Show 19,Sports,,New,,,,362772499855,16.5,1,"Oct 12, 2019",,"jose altuve (houston astros) mlb the show 19 7"" figure",,,Auction
92,92,1,Marx,Comic Book Heroes,Archie,Used,,,,153673571368,14.0,1,"Oct 12, 2019",,marx toys the archies archie action figure 1975,Action Figure,1975,Auction
93,93,4,Funko,"TV, Movie & Video Games",Alien,Used,,Predator,,303313430437,7.57,1,"Oct 12, 2019",3.75in.,funko super 7 reaction unmasked predator & alien action figure lot xenomorph,Action Figure,,Auction
94,94,0,Hasbro,Military & Adventure,,New,,GI Joe,,183660412259,14.99,1,"Oct 12, 2019",12in.,gi joe us marine vietnam 35th anniversary barbie action figure hasbro 1999 nib  ,Action Figure,1999,BIN
95,95,1,Hasbro,Military & Adventure,,Used,,GI Joe,,264485091847,65.0,1,"Oct 12, 2019",,1964 red headed g.i. joe - made in the usa  - **patent pending**,Action Figure,1964,Auction
96,96,1,Hasbro,Comic Book Heroes,,New,,X-Men,,123930163267,5.0,1,"Oct 12, 2019",,gideon- the uncanny x-men- x-force- evil mutants- marvel- toybiz 1992- in box ,Action Figure,1992,Auction
97,97,1,MLB The Show 19,Sports,,New,,,,362772499856,9.99,1,"Oct 12, 2019",,"mookie betts (boston red sox) mlb the show 19 7"" figure",,,Auction
98,98,0,Hasbro,"TV, Movie & Video Games",Millennium Falcon,Used,,Star Wars,,333345823932,22.99,1,"Oct 12, 2019",,star wars disney exclusive millennium falcon deluxe vehicle w/sound light figure,Action Figure,,BIN
99,99,0,Hasbro,Military & Adventure,Stormtrooper,Used,,GI Joe,,333333157469,34.19,1,"Oct 12, 2019",3.75in.,gi joe headhunter storm trooper 1993 100% complete w file card super clean !! b2,Action Figure,1993,BIN
100,100,0,Hasbro,Military & Adventure,,Used,,GI Joe,,163900624594,8.09,1,"Oct 12, 2019",3.75in.,"j gi joe 12"" 1/6 modern us m.o.p.p. soldier marine with accessories weapons ",Action Figure,,BIN
101,101,4,Hasbro,Military & Adventure,Yogi Bear,Used,,GI Joe,,113916721271,5.61,1,"Oct 12, 2019",3.5in.,gi joe backblast 1993 tight joints glossy paint,Action Figure,1989,Auction
102,102,0,Unbranded,Comic Book Heroes,The Joker,New,2002-Now,The Joker,,123913600089,15.99,2,"Oct 12, 2019",2in.,5pcs/lot superheroes the joker batman the dark knight pvc action figure keychain,Action Figure,2019,BIN
103,103,5,Bandai,Transformers & Robots,Robot,Used,1980-2001,Gobots,,283634571925,5.01,1,"Oct 12, 2019",,go-bots royal-t figure   bandai 1983 robot fighter jet toy  open,Action Figure,1983,Auction
104,104,1,Kaiyodo,"TV, Movie & Video Games",,Used,,Metal Gear,,293264320879,45.0,1,"Oct 12, 2019",,kaiyodo revoltech yamaguchi 140 metal gear rising revengence raiden figure used,Action Figure,,Auction
105,105,9,Bandai,Transformers & Robots,Robot,Used,1980-2001,Gobots,,283634572110,6.5,1,"Oct 12, 2019",,go-bots leader-1 blue figure   bandai 1985 robot fighter jet toy  open,Action Figure,1985,Auction
106,106,0,Unbranded,Transformers & Robots,transformers,New,2018-NOW,transformers,,283138182286,79.9,1,"Oct 12, 2019",32CM, deformation toys ls-03 enlarging mpm04 optimus prime column autobot toy,Transformers Action Figure,2016-NOW,BIN
107,107,1,Unspecified,"TV, Movie & Video Games",Monster,Used,,Masters of the Universe,,113914357940,49.99,1,"Oct 12, 2019",,my pet monster wampa vintage custom star wars action figure ko,Action Figure,,Auction
108,108,0,Hasbro,"TV, Movie & Video Games",Leia Organa,New,2002-Now,Star Wars,,264460301181,8.29,2,"Oct 12, 2019",6in.,"star wars black series general leia organa 6"" figure new in box",Action Figure,2016,BIN
109,109,0,Playmates Toys,"TV, Movie & Video Games",Raphael,Used,2002-Now,Teenage Mutant Ninja Turtles,,223488642592,5.96,1,"Oct 12, 2019",5in.,tmnt raphael 2013 teenage mutant ninja turtles,Action Figure,2013,BIN
110,110,0,Hasbro,Transformers & Robots,Perceptor,Used,,Transformers,,264492359731,47.0,1,"Oct 12, 2019",,transformers 25th anniversary g1 perceptor toysrus exclusive autobot new in box,Action Figure,2009,BIN
111,111,1,Playmates Toys,"TV, Movie & Video Games",princess mitsu,Used,1980-2001,Teenage Mutant Ninja Turtles,,303310951245,3.61,1,"Oct 12, 2019",4in.,teenage mutant ninja turtles tmnt 1993 movie iii 3 - princess mitsu ,Action Figure,1993,Auction
112,112,0,NECA,"TV, Movie & Video Games",Jason Voorhees,New,,Toony Terrors,,174063378533,15.0,1,"Oct 12, 2019",6in.,jason voorhees toony terror action figure horror,Action Figure,2019,BIN
113,113,1,Kenner,"TV, Movie & Video Games",Star Wars,Used,Pre-1980,Star Wars,,174057534606,99.0,1,"Oct 12, 2019",,vintage star wars action figures 70s 80s millennium falcon case skywalker vader,Action Figure,1977-1984,Auction
114,114,0,Hasbro,Comic Book Heroes,,Used,2002-Now,Marvel Universe,,401916430003,21.95,1,"Oct 12, 2019",6 Inch Scale,"marvel legends infinity war series falcon hasbro 6"" scale mcu target",Action Figure,,BIN
115,115,0,Jakks Pacific,Sports,Jeff Hardy,Used,1980-2001,WWE,,174034002219,24.99,1,"Oct 12, 2019",7in.,wwe jeff hardy action figure mesh shirt 2001 r3 tech jakks pacific wrestling,Action Figure,2001,BIN
116,116,1,Hasbro,Military & Adventure,Crazylegs,Used,,GI Joe,,264491448225,17.99,1,"Oct 12, 2019",3.75in.,vintage 1987 gi joe crazylegs assault trooper very nice  complete with file card,Action Figure,1987,Auction
117,117,13,Hasbro,"TV, Movie & Video Games",The Mandalorian,New,,Star Wars,,193146909937,69.99,1,"Oct 12, 2019",6in.,star wars black series mandalorian first edition #94 + clone commander fox mint,Action Figure,2019,Auction
118,118,12,DC,Comic Book Heroes,Legion of Super-Heroes,New,2002-Now,custom,,143403501558,102.5,1,"Oct 12, 2019","6.5""",andromeda laurel gand legion of super-heroes custom losh dc classics,Action Figure,,Auction
119,119,3,DC,Comic Book Heroes,Legion of Super-Heroes,New,2002-Now,custom,,133193789211,55.99,1,"Oct 12, 2019","6""","xs jenni ognats ""nora allen"" legion of super-heroes custom losh dc classics",Action Figure,,Auction
120,120,2,DC,Comic Book Heroes,Talia Al Ghul,New,1980-2001,Batman,,133193789210,30.99,1,"Oct 12, 2019",6in.,talia al ghul and damian wayne custom batman & son jla dc classics direct,Action Figure,,Auction
121,121,0,Kenner,Sports,,New,1980-2001,,,264355903836,4.79,1,"Oct 12, 2019",,1994 mario lemieux starting lineup nhl pittsburgh penguins hockey ,Action Figure,1994,BIN
122,122,0,WALKING DEAD,"TV, Movie & Video Games",MORGAN,Used,2002-Now,WALKING DEAD,,283509665083,8.95,1,"Oct 12, 2019",5 inch,"loose morgan from impaled walker pack walking dead amc tv mcfarlane toys 5""",Action Figure,2015,BIN
123,123,0,Mattel,Other Action Figures,,Used,,,,401827931185,2.69,1,"Oct 12, 2019","6""",vintage gi joe tan clutch right arm 1984 vintage action figures body part mp,Action Figure,,BIN
124,124,0,Mattel,Other Action Figures,,Used,,,,401827930693,2.69,1,"Oct 12, 2019","6""",vintage gi joe tan clutch left arm 1984 vintage action figures body part mp,Action Figure,,BIN
125,125,6,Unbranded,Comic Book Heroes,,New,2002-Now,Marvel Legends,,392469469467,4.25,1,"Oct 12, 2019",7.8in,hot marvel classic spiderman action figure led light toys gift for kid no box,Action Figure,,Auction
126,126,1,Mattel,"TV, Movie & Video Games",,New,,Minecraft,,123937608295,17.15,1,"Oct 12, 2019",1in.,minecraft chest series 2 gold iron golem mini mystery figure super rare,Action Figure,2017,Auction
127,127,2,Hot Toys,"TV, Movie & Video Games",RoboCop,Used,2002-Now,ROBOCO,,153673567188,305.0,1,"Oct 12, 2019",Approximately 35cm tall,hot toys 1/6 robocop mms204 ed-209 with sound effect masterpiece action figure,Action Figure,2013,Auction
128,128,0,LARAMI,Comic Book Heroes,,Used,,Batman,,264349276931,15.99,1,"Oct 12, 2019",,1989-90 batman and robin action figures dc made in china,,,BIN
129,129,0,Hasbro,Comic Book Heroes,Winter Soldier,New,2002-Now,Captain America,,113920161490,27.0,1,"Oct 12, 2019",6in.,"marvel legends winter soldier 6"" figure mandroid bucky barnes sebastian stan",Action Figure,2013,BIN
130,130,0,Mattel,Sports,,Used,,,,282896686503,13.0,1,"Oct 12, 2019",,wwe mattel jimmy uso elite action figure series ,Action Figure,,BIN
131,131,0,Mattel,Sports,,New,,,,273817383388,12.0,1,"Oct 12, 2019",,2017 mattel wwe topps nxt take over samoa joe figure moc,Action Figure,,BIN
